Interval /semitone,name,group,tone1,tone2,frequency1(hz),frequency2(hz),P_MELODIC_DIOTIC,sd,se,P_MELODIC_DICHOTIC,sd,se,P_HARMONIC_DIOTIC ,sd,se,P_HARMONIC_DICHOTIC,sd,se,C_MELODIC_DIOTIC,sd,se,C_MELODIC_DICHOTIC,sd,se,C_HARMONIC_DIOTIC,sd,se,C_HARMONIC_DICHOTIC,sd,se,B_MELODIC_DIOTIC,sd,se,B_MELODIC_DICHOTIC,sd,se,B_HARMONIC_DIOTIC ,sd,se,B_HARMONIC_DICHOTIC,sd,se,Harmonic similarity score(JI) / %,Harmonic similarity score (actual frequency) / %,Minimum frequency interval / Hz
6.50 ,,microtonal,0.00 ,13.00 ,261.63 ,380.84 ,2.00 ,0.82 ,0.20 ,1.94 ,0.85 ,0.21 ,1.63 ,0.81 ,0.20 ,1.94 ,0.57 ,0.14 ,2.00 ,0.97 ,0.23 ,2.06 ,0.68 ,0.16 ,1.19 ,0.40 ,0.10 ,2.06 ,0.77 ,0.19 ,1.88 ,0.81 ,0.20 ,1.81 ,0.75 ,0.18 ,1.44 ,0.73 ,0.18 ,1.88 ,0.72 ,0.17 ,14.80 ,0.64 ,119.21 
7.00 ,perfect 5th,chromatic,0.00 ,14.00 ,261.63 ,392.00 ,3.00 ,0.73 ,0.18 ,3.44 ,0.73 ,0.18 ,3.31 ,0.79 ,0.19 ,3.00 ,0.89 ,0.22 ,3.56 ,0.51 ,0.12 ,3.69 ,0.60 ,0.15 ,3.50 ,0.89 ,0.22 ,3.31 ,0.95 ,0.23 ,3.00 ,0.82 ,0.20 ,3.50 ,0.63 ,0.15 ,3.44 ,0.81 ,0.20 ,3.25 ,0.68 ,0.17 ,66.70 ,0.64 ,130.37 
7.50 ,,microtonal,0.00 ,15.00 ,261.63 ,403.48 ,2.06 ,0.85 ,0.21 ,2.06 ,0.93 ,0.23 ,2.13 ,0.89 ,0.21 ,2.13 ,0.89 ,0.21 ,1.80 ,0.94 ,0.24 ,1.81 ,0.75 ,0.18 ,1.69 ,0.70 ,0.17 ,1.81 ,0.66 ,0.16 ,1.81 ,0.91 ,0.22 ,2.00 ,0.97 ,0.23 ,1.81 ,0.83 ,0.20 ,1.94 ,0.93 ,0.23 ,12.30 ,0.63 ,141.85 
8.00 ,minor 6th,chromatic,0.00 ,16.00 ,261.63 ,415.30 ,3.06 ,0.77 ,0.19 ,2.13 ,0.81 ,0.20 ,3.06 ,0.77 ,0.19 ,2.69 ,0.87 ,0.21 ,2.88 ,0.89 ,0.21 ,2.06 ,0.93 ,0.23 ,2.81 ,0.98 ,0.24 ,2.44 ,0.96 ,0.23 ,2.94 ,0.68 ,0.16 ,2.00 ,0.82 ,0.20 ,3.00 ,0.82 ,0.20 ,2.69 ,0.87 ,0.21 ,30.00 ,0.62 ,153.67 
8.50 ,,microtonal,0.00 ,17.00 ,261.63 ,427.47 ,1.94 ,0.57 ,0.14 ,1.88 ,0.96 ,0.23 ,1.88 ,0.89 ,0.21 ,2.38 ,1.02 ,0.25 ,1.75 ,0.68 ,0.17 ,1.94 ,0.68 ,0.16 ,1.81 ,0.91 ,0.22 ,2.25 ,1.06 ,0.26 ,1.81 ,0.75 ,0.18 ,1.88 ,0.96 ,0.23 ,1.81 ,0.83 ,0.20 ,2.25 ,1.00 ,0.24 ,14.10 ,0.62 ,165.84 
9.00 ,major 6th,chromatic,0.00 ,18.00 ,261.63 ,440.00 ,2.44 ,0.73 ,0.18 ,2.88 ,0.96 ,0.23 ,3.31 ,0.79 ,0.19 ,2.81 ,0.98 ,0.24 ,3.06 ,0.77 ,0.19 ,3.00 ,0.82 ,0.20 ,3.38 ,0.81 ,0.20 ,3.06 ,1.00 ,0.24 ,2.50 ,0.63 ,0.15 ,3.00 ,0.89 ,0.22 ,3.38 ,0.81 ,0.20 ,2.75 ,0.86 ,0.21 ,46.70 ,0.61 ,178.37 
9.50 ,,microtonal,0.00 ,19.00 ,261.63 ,452.89 ,1.75 ,0.77 ,0.19 ,1.88 ,0.89 ,0.21 ,2.00 ,0.89 ,0.22 ,2.50 ,1.10 ,0.27 ,1.44 ,0.89 ,0.22 ,1.63 ,0.81 ,0.20 ,1.75 ,0.77 ,0.19 ,1.81 ,0.83 ,0.20 ,1.63 ,0.72 ,0.17 ,1.81 ,0.91 ,0.22 ,1.88 ,0.81 ,0.20 ,2.25 ,1.13 ,0.27 ,10.30 ,0.60 ,191.26 
10.00 ,minor 7th,chromatic,0.00 ,20.00 ,261.63 ,466.16 ,1.81 ,0.75 ,0.18 ,2.00 ,1.10 ,0.27 ,2.50 ,1.03 ,0.25 ,1.94 ,0.77 ,0.19 ,2.06 ,1.00 ,0.24 ,2.00 ,0.82 ,0.20 ,2.25 ,1.00 ,0.24 ,2.25 ,0.77 ,0.19 ,1.88 ,0.72 ,0.17 ,1.94 ,1.00 ,0.24 ,2.38 ,0.96 ,0.23 ,2.00 ,0.52 ,0.13 ,28.90 ,0.60 ,204.53 
10.50 ,,microtonal,0.00 ,21.00 ,261.63 ,479.82 ,1.56 ,0.73 ,0.18 ,1.88 ,0.81 ,0.20 ,1.63 ,0.81 ,0.20 ,1.81 ,0.98 ,0.24 ,1.63 ,0.81 ,0.20 ,1.81 ,0.91 ,0.22 ,1.19 ,0.40 ,0.10 ,1.75 ,0.77 ,0.19 ,1.50 ,0.63 ,0.15 ,1.63 ,0.62 ,0.15 ,1.56 ,0.81 ,0.20 ,1.56 ,0.73 ,0.18 ,13.60 ,0.59 ,218.19 
11.00 ,major 7th,chromatic,0.00 ,22.00 ,261.63 ,493.88 ,1.88 ,0.72 ,0.17 ,1.75 ,0.68 ,0.17 ,1.94 ,0.85 ,0.21 ,2.06 ,0.77 ,0.19 ,1.88 ,0.96 ,0.23 ,1.81 ,0.75 ,0.18 ,1.56 ,0.73 ,0.18 ,1.75 ,0.58 ,0.14 ,2.00 ,0.82 ,0.20 ,1.81 ,0.91 ,0.22 ,1.75 ,0.77 ,0.19 ,1.88 ,0.81 ,0.20 ,18.30 ,16.30 ,232.25 
11.50 ,,microtonal,0.00 ,23.00 ,261.63 ,508.36 ,1.56 ,0.81 ,0.20 ,1.50 ,0.63 ,0.15 ,1.44 ,0.63 ,0.15 ,1.75 ,0.68 ,0.17 ,1.63 ,0.72 ,0.17 ,1.63 ,0.72 ,0.17 ,1.06 ,0.25 ,0.06 ,1.63 ,0.89 ,0.21 ,1.56 ,0.81 ,0.20 ,1.69 ,0.79 ,0.19 ,1.38 ,0.72 ,0.17 ,1.56 ,0.73 ,0.18 ,8.30 ,0.58 ,246.73 
12.00 ,octave,chromatic,0.00 ,24.00 ,261.63 ,523.25 ,2.94 ,0.85 ,0.21 ,3.13 ,0.96 ,0.23 ,2.94 ,0.85 ,0.21 ,3.19 ,0.75 ,0.18 ,3.56 ,0.51 ,0.12 ,3.38 ,0.72 ,0.17 ,3.50 ,0.73 ,0.18 ,3.63 ,0.62 ,0.15 ,3.06 ,0.68 ,0.16 ,3.25 ,0.77 ,0.19 ,3.06 ,0.77 ,0.19 ,3.13 ,0.81 ,0.20 ,100.00 ,0.57 ,261.62 
